지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C)
108,서울,2003-04,13.2,17.9,9,24.6,4.8
108,서울,2003-05,19.6,25,14.4,30.4,8.5
108,서울,2003-06,21.5,25.8,18,31.1,14.4
108,서울,2003-07,23.8,27.7,20.7,31.4,18.3
108,서울,2003-08,24.1,27.6,21.3,32.2,16.6
108,서울,2003-09,20.9,24.9,17.5,28.7,13.8
108,서울,2003-10,13.9,19,9.6,26,2.7
108,서울,2003-11,9.5,13.5,5.9,21.3,-3.2
108,서울,2003-12,.7,4.4,-2.8,12,-8.1
108,서울,2004-01,-1.5,2.1,-4.9,8.1,-16.7
108,서울,2004-02,2.3,6.9,-1.6,18.7,-7.8
108,서울,2004-03,6.3,11.1,2.1,18.7,-5.6
108,서울,2004-04,13.1,18.3,8.5,27.3,2.7
108,서울,2004-05,17.6,22.2,13.7,27.6,8.8
108,서울,2004-06,23.2,27.7,19.3,32.5,14.6
108,서울,2004-07,24.8,27.7,22.3,34.5,19.5
108,서울,2004-08,26.1,30.2,22.8,36.2,18.7
108,서울,2004-09,21.7,26.3,17.8,31.3,12.8
108,서울,2004-10,15.2,20.8,10.3,25.6,5.3
108,서울,2004-11,9.1,13.4,5.3,21.5,.2
108,서울,2004-12,1.9,5.8,-1.4,16.2,-8.3
108,서울,2005-01,-2.5,1.5,-6.2,7.3,-11
108,서울,2005-02,-1.9,2.2,-5.5,10.5,-13.1
108,서울,2005-03,4.1,8.8,.2,17.6,-6.5
108,서울,2005-04,13.2,18.1,8.9,29.8,4.1
108,서울,2005-05,17.7,22.9,13,30.2,6.3
108,서울,2005-06,22.7,27.3,19.1,32,15.5
108,서울,2005-07,25.3,28.8,22.7,34.2,18.3
108,서울,2005-08,25.1,28.7,22.4,35,16.5
108,서울,2005-09,21.8,25.7,18.6,30.8,13.8
108,서울,2005-10,14.7,19.4,10.7,24.9,3
108,서울,2005-11,8.6,12.9,4.6,21.8,-1.1
108,서울,2005-12,-3.9,-.1,-7.4,11.1,-14
108,서울,2006-01,-.2,3.4,-3.3,9.3,-10.1
108,서울,2006-02,.1,4.2,-4,11.5,-14.1
108,서울,2006-03,5.2,9.9,.9,17.2,-6.9
108,서울,2006-04,11.6,16.2,7.7,22.2,2.9
108,서울,2006-05,18.4,23.4,14,28.3,10.8
108,서울,2006-06,21.8,26.3,18.1,32.4,14.1
108,서울,2006-07,23.1,26,20.9,30.1,17.5
108,서울,2006-08,27,31.1,23.9,34.7,20.8
108,서울,2006-09,21.1,25.7,16.9,30.3,11.3
108,서울,2006-10,17.9,22.6,13.9,27.5,7.9
108,서울,2006-11,8.4,12.4,4.5,20.2,-1.3
108,서울,2006-12,1.4,5.4,-2,12.6,-12.3
108,서울,2007-01,.4,4.1,-2.8,11.8,-7.6
108,서울,2007-02,4,8.7,.1,14.8,-8.6
108,서울,2007-03,6.1,10.3,2.3,16.2,-7.6
108,서울,2007-04,11.4,16.1,7.5,22.5,1.6
108,서울,2007-05,18.1,23.4,13.6,30.1,9
108,서울,2007-06,23.2,27.7,19.2,33.2,14.1
108,서울,2007-07,24.2,27.8,21.3,31.2,17.7
108,서울,2007-08,26.5,29.9,23.8,33.2,19.8
108,서울,2007-09,21.5,25.1,18.6,31.1,14.1
108,서울,2007-10,15.1,19.6,11.3,26.2,3.2
108,서울,2007-11,6.7,11.4,2.8,19.3,-5.5
108,서울,2007-12,1.8,5.4,-1.4,13.8,-7.4
108,서울,2008-01,-1.7,1.9,-5,7.3,-11.1
108,서울,2008-02,-1.2,3.2,-4.9,10.5,-10.1
108,서울,2008-03,7.3,11.9,3.7,19.8,-1.7
108,서울,2008-04,14.1,19.5,9.3,28,3.8
108,서울,2008-05,17.7,22.7,13.1,28.5,8.1
108,서울,2008-06,21.5,26.1,17.6,29.6,13.7
108,서울,2008-07,25.1,28.4,22.6,32.9,20.2
108,서울,2008-08,25.3,29.5,21.8,35.4,16.3
108,서울,2008-09,22,26.9,18,32,10.3
